HSBC,CLP,CK
96.5,32.4,90.5
96.5,32.5,90.75
99.25,32.5,92.5
97.5,32.4,92.5
99.25,32.8,93
99.75,32.8,92.75
99.5,32.7,92
100,32.5,94
99.75,32.3,92.5
99,32.5,92.5
98.5,32.3,90.25
97.75,32.7,88
97,32.3,85
96.5,32.2,86
96.75,32.3,86.25
97.75,32.2,88.25
98,32.4,90
98.75,32.6,91
98.75,32.3,90.25
97.75,32.1,88.75
95.5,32.1,88.5
94,31.8,87.25
93,31.5,86.25
93,31.3,85.75
92.75,31.2,85.5
94,32.1,85
92.25,31.6,84.75
93.75,32.5,87.25
93.5,32.4,85.5
93.5,32.4,85.5
92.5,32.7,85
92.25,32.6,83.75
91.25,32.5,82.5
92.25,32.7,85
92.25,32.7,85
93,32.7,85
92.5,32.4,84.75
91,32.6,83
91,32.6,83
89.5,32.8,82.5
89.75,32.9,82.5
87,32.9,81
87,33.3,81
87.5,32.5,80.75
87.75,32.6,80.25
87.25,32.7,80.25
87.25,32.5,80.75
87.75,32.6,79.25
87.75,32.4,79.5
87.5,32.8,79.5
88,32.5,78.5
88,32.5,78.5
86.5,32.8,75.75
87.75,32.6,75.5
87.5,32.7,74.75
89,32.9,77.25
90.25,32.9,79.75
90.75,32.6,79.25
90.75,32.5,78
90.5,32.1,78
91,32.2,75.5
92.25,32.5,73.5
90.25,32.6,70.5
91.5,32.8,70.25
91,32.8,67.5
92.25,32.3,70
94,31.8,71
93.75,32,70.25
94,32.4,72
92.25,32.4,69.5
93.25,32.5,68.5
91.75,32.5,67.5
92.75,32.8,68.75
91.25,32.5,70.5
92,32.8,71.75
92.25,32.3,73
92.25,32.3,74.25
93.5,32.5,75
91.25,31.6,72
90.75,31.8,71.5
92.5,32.4,72
91,32.2,71
90.75,31.9,69.25
87.5,32,65
87.5,32.2,65
87.5,32.1,65.25
80,30.4,58.25
79,31.6,59.5
79.75,31.9,59
75.25,31.8,56
75.75,31.3,55
77.75,30.8,57
74.5,30.1,54.75
68.5,29.95,52.25
71.25,30,54.5
71.75,29.95,54.5
75.5,29.5,55.75
76.5,30,58.5
81.75,30,60.75
81.75,30,60.75
81.75,30,60.75
79.75,30,61.25
85,30,62.25
84.5,30,63.5
83,29.8,61.25
85,29.75,63.5
83,29.75,62.75
86,29.8,65.75
85.75,29.75,65.5
84.5,29.95,65
85.75,30,65.5
86.75,30.4,67.75
84.25,29.95,65.25
83,29.9,64
81.75,29.75,64.5
85.25,29.85,67.25
86.5,29.8,67
86.5,29.8,67
88,29.9,67.25
87,29.6,67
85,29.5,66.75
84.5,29.45,66
85.5,29.6,66.5
86.75,29.4,66.25
88,29.65,68
88,29.45,68
89,29.35,67.25
90,29.65,68.25
89.5,29.45,70
89.25,29.5,70.5
89.5,29.7,71.5
91,29.9,74.5
92.25,29.75,77.5
91.75,29.6,78.75
92.5,29.7,77.75
93,29.9,77.25
93.25,29.95,76
94.25,29.95,76.75
94.25,30,78.25
94.75,30,79.5
93.5,29.95,78
93.25,30.2,74.25
93.25,30.3,72.75
94.5,30.2,75.5
93.25,30,75.5
94,30.1,78.25
95.75,30,81.25
97.25,29.45,82.5
98.5,29.7,82.25
97,29.95,83
95.75,30,81.5
96,29.95,83
93.5,29.85,81
93.25,29.95,80.5
93.75,30,81
94.25,29.95,81.25
94.5,30,82.75
93.5,29.95,83
89.5,29.5,79.5
90.25,29.75,79.5
90.25,29.75,79.5
90.25,29.75,79.5
91.75,29.9,79.75
91.75,29.95,80.75
91.25,29.75,81
91.25,29.75,81
90.75,29.7,80.25
92,29.75,80
94.75,29.75,81.5
95,29.55,85
92.75,29.55,83.5
91.5,29.5,83.5
90,29.75,81.5
90,29.6,79.75
89.5,29.85,80.25
87.75,29.9,78.5
88,30,77.5
87.5,29.95,77.5
88,30,76.75
87.75,30,77.75
86.75,30,76
87.25,30.1,75.5
87,30,75
88.5,30.2,74.75
88.25,30.3,74.75
89,30.2,77.75
87,29.95,75.5
87,30.1,74.75
87.5,30.4,74
87.75,30.5,74
86.75,30.2,73
86,30.2,72.25
84.75,30.1,70.5
85.75,30.1,69.75
88.5,30.6,71.5
88.5,30.6,71.5
88.5,30.6,71.5
88.5,30.6,71.5
89.25,30.6,72.25
89,30.4,73.5
88,30.1,71.75
87,30.5,72
86.75,30.9,72.5
85.75,30.9,71
85.25,30.7,68.5
87,30.8,66.75
87.25,31,67.25
86.75,31.4,65
85.5,30.9,65
88,31.3,66.75
91.5,30.9,69
91,31.1,68.75
91.75,31,71
92.75,30.9,71.5
93,30.9,72.5
92.75,30.8,72
92,31,71
92.75,31.1,71.75
92.25,31.4,70.75
93.25,31.3,71
93.75,31.7,70.75
90.75,31.9,70
89.5,31.8,69
90,31.7,68.25
89.25,31.9,68.25
88.75,31.7,68.5
89.5,31.7,69.5
90,32,69.75
90,32,69.75
90,32,69.75
89.25,32.1,68.75
89,32,68.25
88.75,31.8,69
88.75,31.8,69
88,31.7,67.75
88.25,31.8,68
87.75,31.6,67.25
89,31.9,68
88.25,31.8,68.25
88,30.7,68.25
88.25,30.4,68.75
90.25,30.2,71.75
91.25,29.85,73
91.5,30.3,74
90.5,30.2,73.25
91.5,30.2,74.25
91.25,30.2,74.5
92,30.1,73.25
92,30.2,73
92,30.4,72.75
92.75,30.6,74.25
92.75,30.6,74.25
93.75,30.7,76.25
94.75,30.8,76
95.25,30.9,76.25
95,31,76.5
96,30.9,75.5
95.25,31.3,74.25
94.5,31.7,74.5
96.25,31.8,75.5
96.5,31.8,74.25
97.5,31.7,76
97.5,32.1,76
97.5,32.1,77
97.5,32.1,77
96,32.4,75.75
96.75,32.4,76
95.5,32.4,74.25
96,32.5,73.75
95.5,32.4,73.25
96.5,32.1,73
94.75,32.3,71.75
94.75,32.2,71
94.75,31.8,72.25
96,32,71
95.25,32.4,71.5
95.5,32.3,72.25
95.5,32.2,72
94.25,32.4,72.75
93.25,32.7,72.75
93.5,32.4,72
93.5,32.1,71
92.5,32.2,70.5
90.5,31.9,69.25
89.25,31.9,69
90.5,31.6,68.25
89.5,31.3,66.5
89.75,31.5,67.75
88.25,31.3,66.25
89.25,31.5,66.5
88.75,31.2,65.75
87,30.9,64
88.25,31.4,65
89.5,31,65
89.5,31,65
89.25,30.2,64.5
89.25,30.9,66
89.75,31.2,67
89.75,31.3,67.25
90.25,31.2,66.5
91.5,31.1,66.25
90.5,31.2,66.75
88.5,31.1,65.25
89.25,31.1,66
88,31,66.5
87,30.8,64.5
86.75,30.5,63
88.5,30.4,64.25
87.75,30.5,63.25
86.5,30.4,61.5
87.25,30.4,63.5
84.25,30.6,61
84.25,30.4,59.25
85,30.3,58
86.75,30.8,60.5
87.75,30.5,62
88.5,30.6,61.75
87.5,30.8,60.75
85.25,31,59
85,30.6,57.75
84.75,30.5,56
87.25,30.7,58.5
87,30.8,57.5
88.5,30.8,55.5
88.25,31,54.5
88.75,31.5,56
87.75,31.7,54.75
89.75,31.7,56.5
90.25,31.6,56.5
90.25,31.6,56
91.75,31.4,57.5
90.5,31.6,58.25
91,31.6,58.25
89.25,31.4,58.5
89,31.8,58.25
89.25,31.9,57
88.75,31.9,56.25
88.75,32.2,55.75
88.5,31.4,55.75
87.75,31.6,55
86.5,31.6,55.25
86,31.9,56.25
85.5,32.2,55.25
85,32.7,55.5
85.25,31.9,55.25
86.75,31.9,55.75
87.25,31.9,55.75
87.5,32.3,55.5
85.5,31.9,54.25
85,32.4,52.75
87.25,32.7,53.75
85.25,32.4,52.5
84.75,32.9,52
84.5,33,50.75
84.75,32.8,49.9
83,32.9,49.2
81.5,32.9,49.4
82.25,32.4,51.5
82.5,32.3,51.5
80.25,32.4,49.2
80.25,32.4,49.2
80.75,32.5,48.8
79.5,32.4,46.7
80,32.3,46.7
78.75,32.1,46.2
79.75,31.9,46.2
80,31.9,46.8
80,31.6,45.4
82,31.7,46.1
82,31.7,46.1
84.5,31.8,49.3
85.5,31.6,49.5
86.25,31.6,50.75
86.25,31,52
86,31.3,51.25
86.5,31.2,51.75
87.5,31.6,53.25
87,31.3,53.5
86.25,31.2,53.75
87,31.5,55
85.75,31.5,53.5
85.75,31.9,52.25
85,31.6,51.75
85.75,31.4,51.5
87.25,31.4,54.5
87.5,31.5,53.25
89.25,31.6,53.25
88.75,31.9,54.25
88.25,31.9,53.75
86.5,32,52.5
86.75,32,52
87.5,31.5,52.5
87.75,31.7,54
86.75,31.6,55.25
89.5,31.5,55.25
90,31.9,55.5
89.75,31.9,55.75
90.25,31.8,56.25
91,31.7,56.75
90.75,31.7,57
89.5,31.7,56.25
88.75,31.8,55.5
91,31.8,57.75
91.5,31.3,57.25
92.5,31.5,58
92,31.3,57.75
90.25,31.5,55.75
90.5,31.5,56
89.75,31.6,55.75
89.5,31.4,54.75
88.75,31.3,54.25
88.5,31.3,53.75
89,31.2,53.5
88.25,31.4,53
86.75,31.8,53
88.5,31.6,53.25
87.5,31.6,51.75
87.5,31.8,52
87.5,31.8,52.25
86.75,31.8,52.25
86.5,31.7,51.75
86.5,31.7,51.75
86.5,31.7,51.75
86.25,31.6,50.5
85,31.5,49.8
85.25,31.4,50.75
